1	1	 California	39,144,818	37,254,503	53	738,581	702,905	12.18%\
2	2	 Texas	27,469,114	25,146,105	36	763,031	698,487	8.55%\
3	4	 Florida	20,271,272	18,804,623	27	750,788	696,345	6.31%\
4	3	 New York	19,795,791	19,378,087	27	733,177	717,707	6.16%\
5	5	 Illinois	12,859,995	12,831,549	18	714,444	712,813	4.00%\
6	6	 Pennsylvania	12,802,503	12,702,887	18	711,250	705,688	3.98%\
7	7	 Ohio	11,613,423	11,536,725	16	725,839	721,032	3.61%\
8	9	 Georgia	10,214,860	9,688,681	14	729,633	691,975	3.18%\
9	10	 North Carolina	10,042,802	9,535,692	13	772,523	733,498	3.12%\
10	8	 Michigan	9,922,576	9,884,129	14	708,755	705,974	3.11%\
11	11	 New Jersey	8,958,013	8,791,936	12	746,501	732,658	2.79%\
12	12	 Virginia	8,382,993	8,001,045	11	762,090	727,366	2.61%\
13	13	 Washington	7,170,351	6,724,543	10	717,035	672,454	2.23%\
14	16	 Arizona	6,828,065	6,392,307	9	758,674	710,224	2.12%\
15	14	 Massachusetts	6,794,422	6,547,817	9	754,936	727,514	2.11%\
16	15	 Indiana	6,619,680	6,484,229	9	735,520	720,422	2.06%\
17	17	 Tennessee	6,600,299	6,346,275	9	733,367	705,123	2.05%\
18	18	 Missouri	6,083,672	5,988,927	8	760,459	748,615	1.89%\
19	19	 Maryland	6,006,401	5,773,785	8	750,800	721,694	1.87%\
20	20	 Wisconsin	5,771,337	5,687,289	8	721,417	710,873	1.80%\
21	21	 Minnesota	5,489,594	5,303,925	8	686,199	662,991	1.71%\
22	22	 Colorado	5,456,574	5,029,324	7	779,511	720,704	1.70%\
23	24	 South Carolina	4,896,146	4,625,401	7	699,449	660,766	1.52%\
24	23	 Alabama	4,858,979	4,780,127	7	694,140	682,819	1.51%\
25	25	 Louisiana	4,670,724	4,533,479	6	778,454	755,562	1.45%\
26	26	 Kentucky	4,425,092	4,339,349	6	737,515	723,228	1.38%\
27	27	 Oregon	4,028,977	3,831,073	5	805,795	766,215	1.25%\
28	28	 Oklahoma	3,911,338	3,751,616	5	782,268	750,270	1.22%\
29	30	 Connecticut	3,590,886	3,574,118	5	718,177	714,819	1.13%\
\'97	29	 Puerto Rico	3,474,182	3,726,157	1[note 2]	\'97	\'97	1.08%\
30	31	 Iowa	3,123,899	3,046,869	4	780,975	761,589	0.97%\
31	35	 Utah	2,995,919	2,763,888	4	748,083	690,221	0.93%\
32	32	 Mississippi	2,992,333	2,968,103	4	748,083	741,824	0.93%\
33	33	 Arkansas	2,978,204	2,915,958	4	744,551	728,980	0.93%\
34	34	 Kansas	2,911,641	2,853,132	4	727,910	713,280	0.91%\
35	36	 Nevada	2,890,845	2,700,691	4	722,711	675,110	0.90%\
36	37	 New Mexico	2,085,109	2,059,192	3	695,036	686,393	0.65%\
37	39	 Nebraska	1,896,190	1,826,341	3	632,063	608,780	0.59%\
38	38	 West Virginia	1,844,128	1,853,011	3	614,709	617,665	0.57%\
39	40	 Idaho	1,654,930	1,567,652	2	827,465	783,791	0.51%\
40	41	 Hawaii	1,431,603	1,360,301	2	715,802	680,151	0.45%\
41	43	 New Hampshire	1,330,608	1,316,466	2	665,304	658,235	0.41%\
42	42	 Maine	1,329,328	1,328,361	2	664,664	664,181	0.41%\
43	44	 Rhode Island	1,056,298	1,052,931	2	528,149	526,284	0.33%\
44	45	 Montana	1,032,949	989,417	1	1,032,949	989,415	0.32%\
45	46	 Delaware	945,934	897,936	1	945,934	897,934	0.29%\
46	47	 South Dakota	858,469	814,191	1	858,469	814,180	0.27%\
47	49	  North Dakota	756,927	672,591	1	756,927	672,591	0.24%\
48	48	 Alaska	738,432	710,249	1	738,432	710,231	0.23%\
\'97	51	 District of Columbia	672,228	601,767	1[note 2]	672,228	\'97	0.21%\
49	50	 Vermont	626,042	625,745	1	626,042	625,741	0.19%\
50	52	 Wyoming	586,107	563,767	1	586,107	563,626	0.18%}
